hashed_uid,date,pam_score_mean,pam_n_responses,frac_stationary,n_activity_readings,dark_hours,conversation_hours,n_gps_readings,mean_accuracy,km_from_campus,n_deadlines,has_deadline,is_weekend,day_of_week
047dd3752ee95148,2013-03-31,5.75,4.0,0.745907831780408,7942.0,14.373888888888889,6.589722222222222,42.0,29.193071428571425,2.7190101748649846,0.0,0.0,1,Sunday
047dd3752ee95148,2013-04-01,5.8,5.0,0.9386857645432845,7959.0,1.4525,5.998055555555555,65.0,29.247584615384618,0.2785958137240384,0.0,0.0,0,Monday
047dd3752ee95148,2013-04-02,5.666666666666667,3.0,0.936260446551079,8017.0,3.883611111111111,5.848055555555556,36.0,33.644194444444445,2.59620020312632,1.0,1.0,0,Tuesday
047dd3752ee95148,2013-04-03,6.666666666666667,3.0,0.9437996334758704,8185.0,1.1602777777777775,6.009166666666666,46.0,26.534739130434783,1.5867663124944495,0.0,0.0,0,Wednesday
047dd3752ee95148,2013-04-04,9.5,4.0,0.9375156523916854,7986.0,8.872222222222222,7.823888888888889,33.0,31.606151515151513,2.6338048041155395,0.0,0.0,0,Thursday
047dd3752ee95148,2013-04-05,13.0,2.0,0.8821148494814065,7906.0,18.2275,5.572777777777778,38.0,38.54192105263158,0.1578102966695876,0.0,0.0,0,Friday
047dd3752ee95148,2013-04-06,14.0,1.0,0.9317030999135484,8097.0,8.321111111111112,6.135,43.0,27.79613953488372,2.6375519171347936,0.0,0.0,1,Saturday
047dd3752ee95148,2013-04-07,7.0,2.0,0.9630636195182212,8095.0,2.7952777777777778,4.5905555555555555,34.0,32.75411764705883,0.288392722307477,0.0,0.0,1,Sunday
047dd3752ee95148,2013-04-08,8.0,4.0,0.9205748865355522,7932.0,8.7875,8.977500000000001,39.0,36.27223076923077,0.292206136845988,1.0,1.0,0,Monday
047dd3752ee95148,2013-04-09,14.0,1.0,0.9303917839482692,7887.0,9.154166666666669,6.831666666666667,34.0,28.95482352941176,0.2928923857434266,0.0,0.0,0,Tuesday
047dd3752ee95148,2013-04-10,10.0,4.0,0.9278139772582088,7827.0,2.589722222222222,7.8175,62.0,43.18379032258064,0.2848997098425672,0.0,0.0,0,Wednesday
047dd3752ee95148,2013-04-11,9.0,1.0,0.9307408819417968,7869.0,7.6130555555555555,8.272777777777778,70.0,40.65067142857143,0.2814969132438222,0.0,0.0,0,Thursday
047dd3752ee95148,2013-04-12,9.75,4.0,0.9361227701993704,7624.0,6.728055555555556,3.5675,67.0,46.83880597014925,2.7071646664216935,0.0,0.0,0,Friday
047dd3752ee95148,2013-04-13,15.0,1.0,0.7345749398200938,7893.0,11.224166666666664,7.3325,68.0,39.491882352941175,2.6948261671389604,0.0,0.0,1,Saturday
047dd3752ee95148,2013-04-14,12.5,2.0,0.936229674796748,7872.0,5.856388888888889,6.8975,72.0,42.81948611111111,0.2837679166938197,0.0,0.0,1,Sunday
047dd3752ee95148,2013-04-15,10.0,3.0,0.9381325910931174,7904.0,6.7075,10.563333333333333,72.0,44.20265277777778,0.2885419473235392,1.0,1.0,0,Monday
047dd3752ee95148,2013-04-16,3.3333333333333335,3.0,0.92826899128269,8030.0,8.435277777777777,11.850555555555555,72.0,49.173541666666665,0.1083709313412429,1.0,1.0,0,Tuesday
047dd3752ee95148,2013-04-17,10.8,5.0,0.9403800770090672,8051.0,9.502222222222224,7.305833333333333,71.0,48.043169014084505,2.701803347078812,0.0,0.0,0,Wednesday
047dd3752ee95148,2013-04-18,11.333333333333334,3.0,0.9151073715936204,7963.0,6.708611111111111,7.419722222222222,71.0,40.88864788732394,0.2806730415734941,0.0,0.0,0,Thursday
047dd3752ee95148,2013-04-19,14.0,1.0,0.9311384770042724,7958.0,11.241666666666667,6.2619444444444445,72.0,44.01991666666667,2.702716518803074,0.0,0.0,0,Friday
047dd3752ee95148,2013-04-20,7.5,2.0,0.9451616869543834,8133.0,8.748333333333333,5.967222222222222,72.0,43.99147222222222,2.703617049098929,0.0,0.0,1,Saturday
04e98184146d8c31,2013-03-27,16.0,1.0,0.8526443278159064,2477.0,1.1725,4.7425,9.0,21.84466666666667,0.280867546627817,0.0,0.0,0,Wednesday
04e98184146d8c31,2013-03-28,11.6,5.0,0.9042739315171208,4001.0,7.460277777777778,7.395,34.0,31.31655882352941,0.2215304341848021,0.0,0.0,0,Thursday
04e98184146d8c31,2013-03-29,8.6,5.0,0.9681940043870338,8206.0,17.425555555555555,8.239166666666666,72.0,30.492555555555555,0.2239907762534582,0.0,0.0,0,Friday
04e98184146d8c31,2013-03-30,7.333333333333333,3.0,0.973524410978868,8234.0,,3.4158333333333335,72.0,27.054805555555554,0.2242170140163687,0.0,0.0,1,Saturday
04e98184146d8c31,2013-03-31,9.5,4.0,0.9414053002674448,8226.0,4.5136111111111115,5.626944444444445,72.0,25.638152777777776,0.2262314065650952,0.0,0.0,1,Sunday
04e98184146d8c31,2013-04-01,10.25,4.0,0.9504780583476342,8158.0,16.525277777777777,3.869444444444445,71.0,30.368436619718313,0.2245034878111725,0.0,0.0,0,Monday
04e98184146d8c31,2013-04-02,8.6,5.0,0.966495475666422,8178.0,2.096388888888889,4.6258333333333335,71.0,29.814394366197185,0.2208760124911137,0.0,0.0,0,Tuesday
04e98184146d8c31,2013-04-03,8.0,7.0,0.883371965353178,8197.0,11.449166666666668,7.871666666666666,71.0,27.223985915492957,0.2224829743828373,0.0,0.0,0,Wednesday
04e98184146d8c31,2013-04-04,10.4,5.0,0.9685755884494056,8242.0,4.936111111111111,7.413333333333333,72.0,29.718972222222224,0.224355897755776,0.0,0.0,0,Thursday
04e98184146d8c31,2013-04-05,8.4,5.0,0.934851436921578,8212.0,15.479166666666666,6.504166666666666,72.0,28.950097222222222,0.2221966806385224,0.0,0.0,0,Friday
04e98184146d8c31,2013-04-06,11.75,4.0,0.9995194040610356,8323.0,9.256388888888887,2.6352777777777776,72.0,27.566069444444445,0.2232315149329599,0.0,0.0,1,Saturday
04e98184146d8c31,2013-04-07,13.4,5.0,0.9952038369304556,8340.0,16.225833333333334,3.3827777777777777,72.0,28.130708333333335,0.2235443150438075,0.0,0.0,1,Sunday
04e98184146d8c31,2013-04-08,7.666666666666667,3.0,0.9756749872643912,7852.0,2.369166666666666,5.089166666666666,68.0,28.47666176470588,0.2246158787943559,1.0,1.0,0,Monday
04e98184146d8c31,2013-04-10,11.8,5.0,0.952763574385196,8214.0,13.455833333333334,5.5088888888888885,72.0,30.795416666666668,0.2239713191685459,0.0,0.0,0,Wednesday
04e98184146d8c31,2013-04-11,8.5,4.0,0.9140855457227138,8136.0,7.054166666666666,6.944444444444445,71.0,31.20515492957746,0.2214640726405826,0.0,0.0,0,Thursday
04e98184146d8c31,2013-04-12,9.0,3.0,0.9587076015551682,7459.0,14.954444444444444,4.089722222222222,65.0,32.19963076923077,0.2280005393459571,1.0,1.0,0,Friday
04e98184146d8c31,2013-04-13,12.0,1.0,0.973832301631964,3554.0,8.67361111111111,1.3922222222222222,31.0,33.25496774193548,0.2321864396837617,0.0,0.0,1,Saturday
04e98184146d8c31,2013-04-14,4.0,2.0,0.9444786408962206,8123.0,2.3094444444444444,3.378888888888889,71.0,30.336154929577468,0.228807832239506,0.0,0.0,1,Sunday
04e98184146d8c31,2013-04-15,5.666666666666667,3.0,0.9477381979539012,8113.0,11.160277777777775,3.5783333333333336,72.0,32.58773611111111,0.2293977003577289,1.0,1.0,0,Monday
04e98184146d8c31,2013-04-16,7.5,6.0,0.9427312775330396,8172.0,1.5194444444444444,1.6866666666666668,71.0,32.20928169014084,0.2292402052220358,0.0,0.0,0,Tuesday
04e98184146d8c31,2013-04-17,7.666666666666667,6.0,0.9349394643512292,8177.0,13.569722222222222,3.944166666666667,72.0,31.257597222222223,0.2216011454279654,0.0,0.0,0,Wednesday
